id,created_at,author_id,in_reply_to_user_id,likert_scale_Q1,likert_scale_Q2
10403,2025-01-28,5158,,4,5
1660,2025-01-28,2275,,4,5
14880,2025-01-28,9466,,2,2
12837,2025-01-28,282,,4,5
12492,2025-01-28,5522,,5,5
10270,2025-01-28,2013,,5,5
9171,2025-01-28,11653,,2,1
1965,2025-01-28,8942,,2,1
8640,2025-01-28,4236,,4,1
6823,2025-01-28,7592,,2,1
11869,2025-01-28,8326,,2,1
3667,2025-01-28,5210,,2,2
6534,2025-01-28,4212,,5,5
3604,2025-01-28,1680,,4,5
13549,2025-01-28,11871,,5,5
10677,2025-01-28,7048,,4,4
3598,2025-01-28,9961,,2,1
427,2025-01-28,10956,,3,1
8843,2025-01-28,9770,,2,1
3835,2025-01-28,2294,,5,5
4593,2025-01-28,5748,,2,2
5384,2025-01-28,9884,,4,2
4891,2025-01-28,3921,,3,3
11687,2025-01-28,5158,,5,5
10314,2025-01-28,11458,,5,1
13214,2025-01-28,2764,,5,5
7958,2025-01-28,6470,,2,2
1153,2025-01-28,310,,3,3
2520,2025-01-28,3127,,1,1
13326,2025-01-28,280,,2,2
13097,2025-01-28,11801,,5,1
3404,2025-01-28,3517,,5,5
3961,2025-01-28,10978,,1,1
2099,2025-01-28,12129,,3,2
9396,2025-01-28,8342,,3,5
14436,2025-01-28,2226,,2,1
5322,2025-01-28,8724,,3,4
7547,2025-01-28,9903,,2,1
10052,2025-01-28,2763,,4,4
9487,2025-01-28,505,,1,1
4860,2025-01-28,3923,,5,5
8013,2025-01-28,10707,,2,1
5324,2025-01-28,2354,,2,1
12527,2025-01-28,378,,2,1
11471,2025-01-28,11364,,4,4
4348,2025-01-28,4893,,5,5
7620,2025-01-28,11371,10751,1,1
10042,2025-01-28,1403,,2,1
799,2025-01-28,6782,,2,2
9111,2025-01-28,7482,,2,1
7492,2025-01-28,1499,,4,5
6408,2025-01-28,11797,,3,2
2307,2025-01-28,1705,,4,5
11976,2025-01-28,2123,,2,2
99,2025-01-28,4208,,2,1
994,2025-01-28,3209,,1,1
9120,2025-01-28,3835,,4,5
4269,2025-01-28,9195,,4,4
7773,2025-01-28,3694,,4,5
426,2025-01-28,11692,,2,2
5219,2025-01-28,7727,,2,1
6380,2025-01-28,7965,,2,1
1033,2025-01-28,5843,,1,1
12292,2025-01-28,3771,,5,5
12499,2025-01-28,11164,,2,2
2445,2025-01-28,432,,4,4
8924,2025-01-28,363,,4,5
14230,2025-01-28,715,,5,5
12147,2025-01-28,4319,,5,5
7530,2025-01-28,10340,,5,5
5793,2025-01-28,5277,,2,1
9026,2025-01-28,3971,,4,5
11133,2025-01-28,6057,,5,5
4560,2025-01-28,9178,,5,5
6935,2025-01-28,6297,,3,4
11364,2025-01-28,12064,,5,1
5410,2025-01-28,4039,,5,1
864,2025-01-28,11961,,2,1
2481,2025-01-28,10902,,2,1
11257,2025-01-28,11604,,2,1
2344,2025-01-28,10656,,4,5
2111,2025-01-28,5931,,3,1
357,2025-01-28,6073,,5,5
11362,2025-01-28,9103,,2,2
11352,2025-01-28,7111,,5,1
2356,2025-01-28,7504,,4,4
1618,2025-01-28,177,,1,1
11178,2025-01-28,4040,,4,5
13019,2025-01-28,3358,,5,5
2678,2025-01-28,11421,,5,1
10436,2025-01-28,8278,,5,5
170,2025-01-28,7752,,4,5
5455,2025-01-28,3445,,5,5
2548,2025-01-28,6868,,2,2
4825,2025-01-28,9195,,5,5
8851,2025-01-28,1297,,5,5
9169,2025-01-28,2984,,5,5
7652,2025-01-28,1928,,2,1
2179,2025-01-28,7415,,5,5
3366,2025-01-28,1143,,5,5
6873,2025-01-28,10869,,2,2
10557,2025-01-28,7786,,4,5
13752,2025-01-28,7831,,4,5
6683,2025-01-28,9232,,3,1
3517,2025-01-28,4951,,4,5
11927,2025-01-28,3101,,4,4
503,2025-01-28,5302,,2,1
8903,2025-01-28,1532,,5,5
6860,2025-01-28,11221,,5,1
9921,2025-01-28,12048,,5,5
13779,2025-01-28,5255,,3,3
13343,2025-01-28,9825,,3,4
2306,2025-01-28,1860,,1,1
10233,2025-01-28,9475,,3,2
7308,2025-01-28,3847,,2,1
9034,2025-01-28,6680,,2,1
1691,2025-01-28,9535,,3,1
9186,2025-01-28,7071,,5,4
35,2025-01-28,2537,,2,2
6594,2025-01-28,12183,,5,5
13283,2025-01-28,9064,,4,5
6128,2025-01-28,402,,1,1
8341,2025-01-28,7656,,2,1
1045,2025-01-28,10388,5352,3,2
5215,2025-01-28,12192,,3,1
14949,2025-01-28,6345,,4,5
141,2025-01-28,9612,,4,5
12709,2025-01-28,4569,,5,5
14876,2025-01-28,2731,,4,5
13388,2025-01-28,9878,,5,5
8326,2025-01-28,7310,,5,5
2171,2025-01-28,820,,5,5
4571,2025-01-28,7342,,5,5
11837,2025-01-28,11330,,4,4
8918,2025-01-28,10468,,2,2
4168,2025-01-28,4901,,4,5
8590,2025-01-28,11928,,2,1
4541,2025-01-28,9781,,4,4
13248,2025-01-28,173,,2,1
7713,2025-01-28,9551,,5,1
5778,2025-01-28,2846,,5,5
10998,2025-01-28,344,,5,4
989,2025-01-28,3897,,5,5
1943,2025-01-28,1749,,4,4
2036,2025-01-28,4537,,5,1
2861,2025-01-28,7970,,3,3
5716,2025-01-28,9555,,2,1
13096,2025-01-28,6501,,4,5
4549,2025-01-28,6542,,5,5
8506,2025-01-28,11175,,2,5
10459,2025-01-28,7064,,5,5
8194,2025-01-28,4741,,4,5
7550,2025-01-28,6208,,2,1
3252,2025-01-28,4849,,5,5
8102,2025-01-28,9369,,5,5
3422,2025-01-28,5548,,5,5
7284,2025-01-28,11921,,2,1
7976,2025-01-28,270,,2,2
7490,2025-01-28,3340,,2,2
2003,2025-01-28,67,,3,3
4736,2025-01-28,4362,,4,4
7586,2025-01-28,8182,,1,1
12457,2025-01-28,11280,,5,1
8295,2025-01-28,3879,,5,5
7664,2025-01-28,7817,,5,5
13976,2025-01-28,2951,,2,1
4679,2025-01-28,6156,,2,1
7922,2025-01-28,11054,,2,2
3729,2025-01-28,9799,,1,2
4701,2025-01-28,9291,,4,4
6544,2025-01-28,11475,,2,1
5830,2025-01-28,2914,,5,5
3712,2025-01-28,7633,,4,4
650,2025-01-28,8327,,1,1
3541,2025-01-28,10089,,2,2
13322,2025-01-28,2595,,2,1
4991,2025-01-28,692,,4,4
14898,2025-01-28,857,,5,5
3216,2025-01-28,8967,8080,2,2
13333,2025-01-28,10414,,2,2
14645,2025-01-28,4190,,5,1
13619,2025-01-28,9644,,4,5
6454,2025-01-28,4019,,5,5
2994,2025-01-28,4008,,4,5
6946,2025-01-28,3908,,5,1
9252,2025-01-28,9739,,4,5
14001,2025-01-28,4629,,5,5
7365,2025-01-28,692,,5,5
14971,2025-01-28,8493,,4,5
14149,2025-01-28,407,,5,5
7528,2025-01-28,1962,,3,2
11280,2025-01-28,5675,,5,5
2566,2025-01-28,4895,,4,5
628,2025-01-28,4008,,5,5
8348,2025-01-28,12284,,3,1
13889,2025-01-28,456,,1,1
4952,2025-01-28,5185,,5,5
12877,2025-01-28,1442,,3,4
9013,2025-01-28,12095,,4,4
2337,2025-01-28,2553,,5,5
2557,2025-01-28,5282,,2,2
12745,2025-01-28,9689,,4,4
1301,2025-01-28,1779,,5,1
12412,2025-01-28,3638,,2,1
3591,2025-01-28,4019,,5,1
13265,2025-01-28,4891,,5,5
10155,2025-01-28,9582,,4,5
14963,2025-01-28,6638,,3,4
3418,2025-01-28,9952,,5,5
4564,2025-01-28,9633,,5,5
10055,2025-01-28,5279,,4,5
12146,2025-01-28,3978,,3,3
7670,2025-01-28,10032,10831,1,1
9962,2025-01-28,1866,,2,2
4105,2025-01-28,4190,,5,5
9354,2025-01-28,6050,,2,1
10302,2025-01-28,4914,,2,1
8479,2025-01-28,11471,,5,5
29,2025-01-28,2156,,5,5
12000,2025-01-28,9460,,2,1
302,2025-01-28,9759,,5,4
6803,2025-01-28,6900,,2,1
6136,2025-01-28,6353,,3,3
6679,2025-01-28,2714,,2,1
4833,2025-01-28,4019,,4,5
3755,2025-01-28,6353,,2,2
7794,2025-01-28,4569,,4,5
4834,2025-01-28,10640,,2,1
4764,2025-01-28,10102,,2,2
3694,2025-01-28,8257,,2,1
14211,2025-01-28,11054,,3,1
14777,2025-01-28,11328,,5,5
3990,2025-01-28,11919,,5,1
896,2025-01-28,11280,,4,5
8476,2025-01-28,6812,,2,1
6911,2025-01-28,6857,,4,4
3527,2025-01-28,2914,,5,5
10899,2025-01-28,1825,,2,1
2690,2025-01-28,5480,,2,1
12646,2025-01-28,4678,,5,5
6211,2025-01-28,179,,5,1
7359,2025-01-28,11720,,5,5
7450,2025-01-28,11430,,2,2
5553,2025-01-28,4233,,4,5
8628,2025-01-28,8712,,5,5
12061,2025-01-28,11130,,2,1
10059,2025-01-28,4899,,4,4
5693,2025-01-28,1338,,4,5
3398,2025-01-28,1064,,5,5
12158,2025-01-28,3427,,5,5
12287,2025-01-28,716,,3,1
13683,2025-01-28,191,,5,5
6064,2025-01-28,2113,,5,5
5202,2025-01-28,11896,,2,2
6509,2025-01-28,4808,,4,4
11890,2025-01-28,4170,,5,5
4877,2025-01-28,3330,,4,5
8586,2025-01-28,11054,,2,1
3257,2025-01-28,11997,,5,5
5437,2025-01-28,1384,,2,1
13964,2025-01-28,4089,,4,4
5248,2025-01-28,9152,,3,1
4330,2025-01-28,9612,,2,4
12969,2025-01-28,4362,,4,5
14402,2025-01-28,10635,,2,1
6971,2025-01-28,8094,,4,5
1822,2025-01-28,8174,,2,1
3256,2025-01-28,9369,,5,1
2326,2025-01-28,11634,,5,5
907,2025-01-28,1166,,1,1
3015,2025-01-28,9739,,4,4
2699,2025-01-28,5112,,5,5
13774,2025-01-28,716,,2,2
11378,2025-01-28,3071,,5,5
9276,2025-01-28,5426,,2,1
7610,2025-01-28,5619,,2,1
7311,2025-01-28,2145,,5,4
5239,2025-01-28,871,,5,1
1124,2025-01-28,1174,,3,2
13187,2025-01-28,4116,,2,1
861,2025-01-28,9193,,2,2
9178,2025-01-28,11112,,5,5
13551,2025-01-28,10447,,5,1
13093,2025-01-28,1682,,5,5
12352,2025-01-28,8879,,2,1
9363,2025-01-28,4728,,5,5
14350,2025-01-28,8496,,2,1
947,2025-01-28,10940,,5,1
9582,2025-01-28,7277,,2,1
12844,2025-01-28,11444,,2,1
14251,2025-01-28,10743,,2,1
11506,2025-01-28,5316,,2,1
1383,2025-01-28,5760,,5,5
2733,2025-01-28,3831,,4,5
8726,2025-01-28,2833,,4,5
6451,2025-01-28,6398,,2,1
9876,2025-01-28,6357,,2,2
12249,2025-01-28,4572,,2,1
7237,2025-01-28,171,,4,5
6127,2025-01-28,3991,,5,5
3759,2025-01-28,6190,10327,2,2
2146,2025-01-28,2146,,2,1
7938,2025-01-28,8642,,1,1
14136,2025-01-28,4227,,3,1
12135,2025-01-28,9334,,4,4
4716,2025-01-28,9753,,3,5
12195,2025-01-28,11112,,5,5
844,2025-01-28,655,,2,2
1883,2025-01-28,7029,,5,5
10889,2025-01-28,9543,,5,5
8420,2025-01-28,11330,,5,5
6195,2025-01-28,12169,,4,5
2046,2025-01-28,4960,,2,2
11163,2025-01-28,6163,,3,1
12359,2025-01-28,8679,,5,5
10140,2025-01-28,11471,,5,1
1259,2025-01-28,5201,,3,3
3646,2025-01-28,2729,,5,1
5107,2025-01-28,2023,,2,1
12299,2025-01-28,9930,,5,1
9348,2025-01-28,5363,,3,2
5357,2025-01-28,10871,,4,5
165,2025-01-28,4571,,5,5
1998,2025-01-28,1277,,1,1
13676,2025-01-28,6939,,3,5
14548,2025-01-28,6563,,2,2
13499,2025-01-28,10059,,3,1
11792,2025-01-28,11714,,3,4
4626,2025-01-28,8840,,5,5
11752,2025-01-28,4190,,5,5
11006,2025-01-28,10958,,2,2
6038,2025-01-28,5795,,5,5
2889,2025-01-28,6931,,2,1
7986,2025-01-28,5549,,2,2
6735,2025-01-28,3372,,4,4
8470,2025-01-28,7738,,5,5
5114,2025-01-28,5399,,1,1
11936,2025-01-28,11170,,5,1
6557,2025-01-28,8542,,4,5
3633,2025-01-28,11112,,5,1
6426,2025-01-28,5178,4257,3,2
13763,2025-01-28,5216,,3,2
10681,2025-01-28,7293,,2,2
2561,2025-01-28,3831,,5,5
3392,2025-01-28,3090,,5,5
11652,2025-01-28,4844,,5,5
11795,2025-01-28,8726,,5,4
2312,2025-01-28,9743,,3,4
3412,2025-01-28,4029,,5,4
3682,2025-01-28,11126,,1,1
11464,2025-01-28,4272,,3,3
7096,2025-01-28,8033,10722,2,2
12237,2025-01-28,10752,,2,1
8812,2025-01-28,4693,,5,5
7514,2025-01-28,8491,,4,4
14094,2025-01-28,7138,,2,2
2980,2025-01-28,396,,4,5
903,2025-01-28,1457,,2,1
203,2025-01-28,2691,,5,5
5395,2025-01-28,10677,,5,5
11492,2025-01-28,1221,,5,4
5901,2025-01-28,1314,,2,1
12491,2025-01-28,5870,,2,1
7763,2025-01-28,11099,,3,2
10622,2025-01-28,6659,,5,5
4861,2025-01-28,584,,4,5
2819,2025-01-28,3930,,2,1
7438,2025-01-28,10320,10954,1,1
2661,2025-01-28,1364,,5,5
1073,2025-01-28,4115,,4,5
14722,2025-01-28,5280,,4,4
9134,2025-01-28,9738,,4,4
13029,2025-01-28,10617,,2,2
13320,2025-01-28,9825,,4,5
1382,2025-01-28,11804,,4,5
1370,2025-01-28,8726,,5,5
458,2025-01-28,8386,,5,5
3328,2025-01-28,11764,,5,5
13428,2025-01-28,11337,10414,2,2
2345,2025-01-28,7706,,2,1
7186,2025-01-28,12104,,1,1
14008,2025-01-28,368,,5,5
12074,2025-01-28,2519,7209,2,5
9606,2025-01-28,11397,,5,1
9371,2025-01-28,8508,,4,5
5112,2025-01-28,4250,,2,5
6551,2025-01-28,8758,,5,1
11291,2025-01-28,6433,,2,1
6849,2025-01-28,9514,,2,2
5108,2025-01-28,2173,,2,2
10298,2025-01-28,6530,,5,5
4248,2025-01-28,8232,,4,5
4353,2025-01-28,11911,,5,5
14389,2025-01-28,1435,,5,5
3474,2025-01-28,11465,,1,2
8033,2025-01-28,4462,,2,1
5034,2025-01-28,7386,,3,3
1727,2025-01-28,678,,4,5
11456,2025-01-28,10995,,4,5
8884,2025-01-28,5898,,2,2
11480,2025-01-28,116,,5,5
5886,2025-01-28,3481,,2,2
8415,2025-01-28,2418,,2,1
8976,2025-01-28,6028,,5,5
12153,2025-01-28,6525,,2,1
14255,2025-01-28,12124,,3,2
6508,2025-01-28,7522,,5,5
12474,2025-01-28,5228,,4,5
13865,2025-01-28,5744,,4,5
3751,2025-01-28,4360,,2,2
1511,2025-01-28,8135,,4,5
14249,2025-01-28,2693,,4,5
779,2025-01-28,9287,,2,1
10428,2025-01-28,11373,,2,2
13450,2025-01-28,3381,,2,1
12704,2025-01-28,9544,,4,5
6894,2025-01-28,4319,,5,5
3300,2025-01-28,22,,1,2
1098,2025-01-28,11477,,5,5
9799,2025-01-28,3766,,2,2
5955,2025-01-28,11234,,5,1
10871,2025-01-28,8533,,5,5
8804,2025-01-28,5196,,5,5
14258,2025-01-28,2432,,5,5
4711,2025-01-28,11795,,4,5
8166,2025-01-28,2017,,4,4
13185,2025-01-28,6764,,1,2
6307,2025-01-28,4518,,4,5
7054,2025-01-28,11713,,5,1
11645,2025-01-28,7801,,5,5
13902,2025-01-28,737,,5,5
10315,2025-01-28,4532,,5,1
949,2025-01-28,2519,938,3,5
7144,2025-01-28,6141,,3,3
8659,2025-01-28,11964,,1,1
1956,2025-01-28,2485,,2,1
6412,2025-01-28,8759,,4,5
10894,2025-01-28,11828,,2,2
5971,2025-01-28,5196,,5,5
6777,2025-01-28,7886,,2,1
13909,2025-01-28,10539,,1,2
4815,2025-01-28,6565,,5,5
5456,2025-01-28,8892,,2,1
13355,2025-01-28,10652,,5,1
14718,2025-01-28,2417,,5,5
6781,2025-01-28,9643,,5,1
2134,2025-01-28,5979,,5,5
5406,2025-01-28,9443,,2,2
7504,2025-01-28,1355,,5,5
8927,2025-01-28,4587,,4,2
11651,2025-01-28,5196,,5,5
10121,2025-01-28,2263,,5,5
423,2025-01-28,6531,,4,4
12562,2025-01-28,4391,,2,2
1118,2025-01-28,8413,,2,2
1872,2025-01-28,11226,,4,5
8802,2025-01-28,2792,,5,5
9728,2025-01-28,7305,,2,1
5164,2025-01-28,3423,,2,2
659,2025-01-28,1588,,3,3
11761,2025-01-28,10854,,1,1
11705,2025-01-28,11988,,2,1
4574,2025-01-28,5975,,2,2
13059,2025-01-28,11209,,2,1
8978,2025-01-28,8220,,2,2
10799,2025-01-28,5086,,5,5
8356,2025-01-28,5057,,2,2
6146,2025-01-28,12055,,2,2
12834,2025-01-28,4689,,2,2
9104,2025-01-28,1858,,4,5
10857,2025-01-28,6117,,4,5
5635,2025-01-28,5204,,5,1
7641,2025-01-28,5753,,5,1
463,2025-01-28,7381,,2,5
1353,2025-01-28,2519,6014,2,5
9580,2025-01-28,2721,,4,5
10223,2025-01-28,5590,,2,2
8401,2025-01-28,347,,4,4
7356,2025-01-28,11597,,3,3
5023,2025-01-28,366,,2,1
10424,2025-01-28,2187,,2,2
1331,2025-01-28,3619,,2,1
13158,2025-01-28,11846,,2,2
14721,2025-01-28,6572,,4,5
11115,2025-01-28,5323,,2,1
2265,2025-01-28,8039,,1,2
13114,2025-01-28,1774,,1,2
7257,2025-01-28,7316,,2,1
9096,2025-01-28,1935,10693,2,2
11294,2025-01-28,5690,,4,5
3777,2025-01-28,8406,,3,4
7535,2025-01-28,11741,6276,3,2
3802,2025-01-28,1831,,5,5
220,2025-01-28,11658,,2,1
11535,2025-01-28,9691,,5,5
7435,2025-01-28,135,,2,2
11483,2025-01-28,9707,,5,5
3145,2025-01-28,5602,,5,1
14440,2025-01-28,7973,,5,5
3868,2025-01-28,2519,2241,2,5
10742,2025-01-28,3258,,1,2
10370,2025-01-28,4580,,4,5
11644,2025-01-28,9164,,4,4
10216,2025-01-28,9357,,2,4
2169,2025-01-28,9343,2497,2,2
8126,2025-01-28,3616,,4,5
2359,2025-01-28,11392,,2,1
14073,2025-01-28,5235,,2,2
2735,2025-01-28,3814,,2,2
7857,2025-01-28,124,,3,3
13881,2025-01-28,5724,,5,5
10718,2025-01-28,2279,,3,3
8362,2025-01-28,5749,,3,3
1254,2025-01-28,11738,,4,4
4354,2025-01-28,2519,1010,3,5
12912,2025-01-28,8977,,5,4
13067,2025-01-28,6149,,3,3
3372,2025-01-28,7722,,2,2
4378,2025-01-28,2122,,5,5
2710,2025-01-28,942,,2,1
13511,2025-01-28,7343,,5,5
11871,2025-01-28,12219,,5,5
905,2025-01-28,9470,,5,5
14893,2025-01-28,11144,,1,1
12966,2025-01-28,3376,,4,5
914,2025-01-28,8807,,5,5
5664,2025-01-28,9471,,5,5
2904,2025-01-28,1933,,2,1
10344,2025-01-28,5281,10714,2,2
10633,2025-01-28,8804,,5,5
7567,2025-01-28,1953,,4,5
2342,2025-01-28,4042,,5,5
12190,2025-01-28,196,,2,2
653,2025-01-28,7844,5545,1,1
11814,2025-01-28,901,,2,2
3260,2025-01-28,53,,4,4
14705,2025-01-28,5669,,5,2
9524,2025-01-28,8346,,2,2
180,2025-01-28,979,,5,4
10552,2025-01-28,7615,,1,2
5187,2025-01-28,6193,,2,1
8597,2025-01-28,11592,,4,5
11155,2025-01-28,640,,1,1
11734,2025-01-28,2458,,5,1
7236,2025-01-28,7434,,4,5
8052,2025-01-28,5878,,5,5
13667,2025-01-28,9295,,2,2
11882,2025-01-28,8456,,1,2
6250,2025-01-28,26,,5,4
14208,2025-01-28,9586,,5,5
3981,2025-01-28,2441,,4,4
13461,2025-01-28,3009,,4,5
14888,2025-01-28,4008,,4,4
11439,2025-01-28,7120,,5,5
1035,2025-01-28,10175,,4,5
6378,2025-01-28,2519,10482,2,5
8150,2025-01-28,2140,,2,1
12468,2025-01-28,10451,,5,5
4858,2025-01-28,1813,,2,1
10134,2025-01-28,9788,,5,5
1721,2025-01-28,10173,,4,5
7101,2025-01-28,11311,,4,5
4686,2025-01-28,3891,,5,5
13309,2025-01-28,3419,,4,5
12962,2025-01-28,131,,2,2
8478,2025-01-28,3506,,1,1
14774,2025-01-28,11547,,3,2
3688,2025-01-28,5611,,2,2
12103,2025-01-28,6054,,4,5
2025,2025-01-28,10252,,1,2
10142,2025-01-28,2829,,5,1
2747,2025-01-28,395,,5,5
2021,2025-01-28,11520,2292,2,2
9392,2025-01-28,7996,,5,4
5111,2025-01-28,105,,4,5
4927,2025-01-28,2812,,2,2
213,2025-01-28,2519,1198,3,5
5416,2025-01-28,7263,,2,1
1208,2025-01-28,6415,,5,1
5842,2025-01-28,9343,3546,2,2
13020,2025-01-28,8091,,1,1
10171,2025-01-28,5878,,2,4
1688,2025-01-28,2122,,4,4
12752,2025-01-28,8338,,4,5
9444,2025-01-28,11188,,2,1
4169,2025-01-28,7039,,4,4
5812,2025-01-28,5209,,3,3
7436,2025-01-28,4021,,1,2
3603,2025-01-28,7545,,3,5
5024,2025-01-28,1687,10714,3,2
1029,2025-01-28,10545,,5,1
343,2025-01-28,1624,,5,5
2624,2025-01-28,12087,,5,5
