id,created_at,author_id,in_reply_to_user_id,likert_scale_Q1,likert_scale_Q2,likert_scale_Q3
4089,2024-11-08,1483,,3,4,3
3163,2024-11-08,3442,,2,2,4
4247,2024-11-08,2713,,5,5,1
307,2024-11-08,2368,,5,5,1
2790,2024-11-08,3176,,3,5,3
391,2024-11-08,51,,2,3,4
3456,2024-11-08,1258,,5,5,1
3184,2024-11-08,3567,,3,5,3
736,2024-11-08,1926,,2,2,4
2842,2024-11-08,195,,3,5,3
3253,2024-11-08,1288,,5,5,1
4461,2024-11-08,3547,,5,5,1
4660,2024-11-08,828,,3,5,3
2836,2024-11-08,529,,3,5,3
3977,2024-11-08,139,,5,5,1
2674,2024-11-08,2003,,5,5,1
2881,2024-11-08,981,,5,5,1
3132,2024-11-08,2011,,5,5,1
2750,2024-11-08,17,,5,5,1
2401,2024-11-08,1929,,4,4,1
3879,2024-11-08,3080,,3,5,3
4477,2024-11-08,3412,,3,1,3
16,2024-11-08,3531,,3,1,3
4644,2024-11-08,2899,,5,5,1
112,2024-11-08,212,,2,2,4
1236,2024-11-08,572,,3,5,3
3165,2024-11-08,3606,,5,5,1
1512,2024-11-08,28,,3,5,3
1624,2024-11-08,115,,3,1,3
2152,2024-11-08,1082,,3,5,3
1037,2024-11-08,925,,3,4,3
4331,2024-11-08,3039,,5,5,1
1104,2024-11-08,2221,,5,5,1
4694,2024-11-08,2230,,5,5,1
3341,2024-11-08,2384,,3,5,3
132,2024-11-08,593,,3,4,3
749,2024-11-08,2965,,5,5,1
630,2024-11-08,1572,,5,3,1
1284,2024-11-08,2041,,3,5,3
294,2024-11-08,683,,3,5,3
3109,2024-11-08,3645,,4,4,1
2722,2024-11-08,3039,,5,5,1
2065,2024-11-08,2741,,3,2,4
1171,2024-11-08,307,,3,3,1
1952,2024-11-08,3797,,5,5,1
794,2024-11-08,572,,5,5,1
2770,2024-11-08,2488,,5,5,1
7,2024-11-08,2942,,5,5,1
2955,2024-11-08,1684,,3,5,3
4173,2024-11-08,320,,5,5,1
2151,2024-11-08,2992,,5,5,1
2036,2024-11-08,1712,,5,5,1
1390,2024-11-08,3658,,4,4,1
4223,2024-11-08,361,,3,5,3
4443,2024-11-08,1406,,5,5,1
4157,2024-11-08,594,,1,1,1
1448,2024-11-08,1938,,5,5,1
3517,2024-11-08,10,,3,5,3
597,2024-11-08,1017,,3,5,3
2095,2024-11-08,1374,,3,3,1
4040,2024-11-08,3207,,5,5,1
2048,2024-11-08,258,,5,5,1
394,2024-11-08,2933,,3,4,3
793,2024-11-08,1453,,3,3,1
3170,2024-11-08,395,,3,3,3
2302,2024-11-08,662,,3,3,3
2177,2024-11-08,814,,3,3,1
1580,2024-11-08,2779,,3,3,3
3510,2024-11-08,1921,,5,5,1
1542,2024-11-08,3489,,3,3,3
3217,2024-11-08,1709,,3,3,3
4190,2024-11-08,1350,,3,3,1
852,2024-11-08,2084,,3,3,1
679,2024-11-08,2521,2402,4,4,4
500,2024-11-08,1365,,1,1,1
4472,2024-11-08,1163,,3,4,1
515,2024-11-08,3195,,5,5,1
1039,2024-11-08,1511,,3,1,3
378,2024-11-08,844,,3,5,3
1235,2024-11-08,2452,,3,5,3
4384,2024-11-08,3477,,5,5,1
1282,2024-11-08,2755,,2,3,4
4417,2024-11-08,2152,,3,5,3
1314,2024-11-08,2713,,4,5,1
4077,2024-11-08,205,,3,1,3
522,2024-11-08,2670,,5,5,1
3105,2024-11-08,2645,,5,5,1
3131,2024-11-08,3046,,5,5,1
1991,2024-11-08,3486,,3,3,3
2226,2024-11-08,2561,,2,2,4
3962,2024-11-08,1510,,2,2,4
1575,2024-11-08,3678,,5,5,1
3303,2024-11-08,2544,,5,5,1
447,2024-11-08,3020,,2,1,3
2463,2024-11-08,229,,5,5,1
686,2024-11-08,3165,,5,5,1
2270,2024-11-08,2264,,5,5,1
3356,2024-11-08,2229,,2,1,3
2018,2024-11-08,2725,,5,5,1
2927,2024-11-08,3691,,5,5,1
3827,2024-11-08,1341,,5,5,1
4588,2024-11-08,5,,3,3,3
829,2024-11-08,3360,,5,5,1
687,2024-11-08,946,,3,4,1
557,2024-11-08,1849,3264,1,5,1
723,2024-11-08,722,,5,5,1
368,2024-11-08,2849,,1,3,4
2442,2024-11-08,2041,,5,5,1
1132,2024-11-08,2812,,3,4,3
3445,2024-11-08,2411,,3,5,3
2141,2024-11-08,1630,,3,4,1
748,2024-11-08,2061,,5,5,1
3544,2024-11-08,1978,335,5,5,1
3385,2024-11-08,815,,4,4,2
684,2024-11-08,3325,,5,5,1
2785,2024-11-08,839,,2,2,4
1562,2024-11-08,1894,,3,5,3
3420,2024-11-08,1914,,5,5,1
4319,2024-11-08,3240,,2,1,3
2701,2024-11-08,3513,,5,5,1
3738,2024-11-08,1877,,5,5,1
3027,2024-11-08,1380,,4,4,1
790,2024-11-08,3143,,4,4,3
4310,2024-11-08,1395,,3,5,3
4507,2024-11-08,2321,,2,2,4
1806,2024-11-08,3396,,5,5,1
3419,2024-11-08,917,,4,4,1
1186,2024-11-08,292,,5,5,1
609,2024-11-08,3390,,5,5,1
3395,2024-11-08,903,,4,5,1
1793,2024-11-08,140,,5,5,1
2057,2024-11-08,1769,,5,5,1
191,2024-11-08,3308,,2,2,1
2780,2024-11-08,3512,,4,4,1
487,2024-11-08,118,,5,5,1
1205,2024-11-08,667,,5,5,1
1513,2024-11-08,1705,,3,5,3
272,2024-11-08,2633,,5,5,1
3391,2024-11-08,1200,,5,5,1
3912,2024-11-08,1043,,2,1,3
1336,2024-11-08,2938,,3,5,3
3551,2024-11-08,3178,,5,5,1
3162,2024-11-08,3632,,3,5,3
2753,2024-11-08,4,,5,5,1
1794,2024-11-08,1548,,3,4,3
2362,2024-11-08,1482,,5,5,1
2977,2024-11-08,2250,,2,1,3
4393,2024-11-08,1740,,3,2,4
3005,2024-11-08,1828,,5,5,1
4166,2024-11-08,904,,4,4,1
3408,2024-11-08,3566,,5,5,1
2253,2024-11-08,2834,,2,2,3
1330,2024-11-08,1799,,5,5,1
883,2024-11-08,1587,,3,5,3
117,2024-11-08,151,,5,5,1
1780,2024-11-08,1644,,3,3,1
4189,2024-11-08,2991,,3,5,1
403,2024-11-08,1866,,2,1,3
3474,2024-11-08,3790,,4,5,1
2920,2024-11-08,816,,3,5,3
4258,2024-11-08,3359,,5,5,1
1000,2024-11-08,1058,,3,1,3
381,2024-11-08,2745,,3,1,3
2930,2024-11-08,2443,,5,5,1
1264,2024-11-08,1286,,3,5,3
1328,2024-11-08,694,3444,5,3,1
1582,2024-11-08,2369,335,5,5,1
3020,2024-11-08,3586,37,5,5,1
3240,2024-11-08,250,,5,5,1
557,2024-11-08,1849,3264,1,5,1
3544,2024-11-08,1978,335,5,5,1
191,2024-11-08,3308,,2,2,1
2253,2024-11-08,2834,,2,2,3
1818,2024-11-08,2006,335,2,5,1
1417,2024-11-08,641,,5,5,1
2010,2024-11-08,2870,,3,3,3
904,2024-11-08,455,1565,5,5,1
945,2024-11-08,3163,,5,5,1
1901,2024-11-08,2049,,3,3,3
2036,2024-11-08,1712,,5,5,1
679,2024-11-08,2521,2402,4,4,4
4241,2024-11-08,3480,,5,5,1
57,2024-11-08,11,,3,2,3
4377,2024-11-08,2436,3519,2,2,4
4483,2024-11-08,17,,5,5,1
2429,2024-11-09,55,,5,5,1
4444,2024-11-09,3267,,5,5,1
504,2024-11-09,679,,3,5,3
1860,2024-11-09,736,,3,3,3
3292,2024-11-09,279,,5,5,1
1036,2024-11-09,2542,,5,5,1
1790,2024-11-09,3749,,5,5,1
2628,2024-11-09,1845,,3,3,3
2347,2024-11-09,2299,,5,5,1
799,2024-11-09,33,,3,4,3
2695,2024-11-09,2076,,5,5,1
3769,2024-11-09,250,,5,5,1
2342,2024-11-09,3122,,5,5,1
2621,2024-11-09,318,,5,5,1
3550,2024-11-09,412,,5,5,1
3696,2024-11-09,1710,,5,5,1
716,2024-11-09,1305,,5,5,1
3028,2024-11-09,1001,,3,4,3
2801,2024-11-09,3125,,5,5,1
1364,2024-11-09,1175,,4,4,1
3262,2024-11-09,908,,3,4,1
2630,2024-11-09,633,2301,5,5,1
773,2024-11-09,95,,1,1,4
2435,2024-11-09,3002,,5,5,1
3147,2024-11-09,3743,,5,5,1
2423,2024-11-09,1931,,1,3,4
2543,2024-11-09,1946,,5,5,1
3901,2024-11-09,3502,,5,5,1
2618,2024-11-09,3172,,5,5,1
3599,2024-11-09,2207,,5,5,1
3986,2024-11-09,2017,,5,5,1
870,2024-11-09,2375,,4,4,1
1804,2024-11-09,58,,5,5,1
2798,2024-11-09,963,,5,5,1
3290,2024-11-09,2287,,5,5,1
2489,2024-11-09,1262,,5,5,1
2403,2024-11-09,3718,,5,5,1
2275,2024-11-09,2315,,5,5,1
3613,2024-11-09,1293,,5,5,1
2549,2024-11-09,1796,,5,5,1
2575,2024-11-09,27,,3,5,3
2029,2024-11-09,736,,3,3,3
2768,2024-11-09,1534,,5,5,1
171,2024-11-09,387,,5,5,1
3174,2024-11-09,592,,5,5,1
1386,2024-11-09,44,,5,5,1
4141,2024-11-09,1347,,5,5,1
1738,2024-11-09,514,,3,5,3
3589,2024-11-09,3690,,5,5,1
1203,2024-11-09,2063,,5,5,1
1155,2024-11-09,2414,,5,5,1
306,2024-11-09,1874,,2,3,4
2069,2024-11-09,3244,,4,5,1
3556,2024-11-09,650,,3,4,1
2015,2024-11-09,20,,5,5,1
2146,2024-11-09,306,,5,5,1
456,2024-11-09,1133,,5,5,1
880,2024-11-09,768,,3,3,3
1105,2024-11-09,1657,,3,4,3
255,2024-11-09,3495,,5,5,1
2440,2024-11-09,2159,,3,4,1
1786,2024-11-09,1132,,5,5,1
2611,2024-11-09,930,,4,4,1
1717,2024-11-09,154,,5,5,1
2915,2024-11-09,457,,5,3,1
2576,2024-11-09,3511,,4,4,1
4323,2024-11-09,2715,,5,5,1
1964,2024-11-09,2391,,3,4,3
3574,2024-11-09,3285,,5,5,1
924,2024-11-09,708,,3,3,1
3171,2024-11-09,148,,5,5,1
3024,2024-11-09,3251,,4,4,1
1361,2024-11-09,3437,,4,5,1
4256,2024-11-09,1815,,5,5,1
2951,2024-11-09,456,,5,5,1
2872,2024-11-09,3773,,5,5,1
2361,2024-11-09,3267,,5,5,1
3834,2024-11-09,1077,,5,5,1
4685,2024-11-09,2052,,5,5,1
796,2024-11-09,3030,,3,3,3
3804,2024-11-09,1407,,4,5,1
1501,2024-11-09,3042,,5,5,1
1046,2024-11-09,2391,,5,5,1
700,2024-11-09,2241,,5,5,1
1227,2024-11-09,3743,,3,5,3
4285,2024-11-09,241,,3,1,1
3360,2024-11-09,1114,,3,2,4
4321,2024-11-09,701,,5,5,1
4394,2024-11-09,2058,,5,5,1
2557,2024-11-09,3337,,5,5,1
2984,2024-11-09,780,,5,5,1
4204,2024-11-09,457,,5,5,1
399,2024-11-09,592,,5,5,1
691,2024-11-09,2663,,4,5,1
2094,2024-11-09,1576,,4,4,2
1849,2024-11-09,1203,,5,5,1
3687,2024-11-09,1773,,5,5,1
2382,2024-11-09,117,,5,5,1
357,2024-11-09,2098,,2,2,4
2263,2024-11-09,2148,,2,1,3
724,2024-11-09,3398,,5,5,1
575,2024-11-09,1024,,4,4,1
2926,2024-11-09,1545,1107,3,3,3
1576,2024-11-09,984,,4,4,1
1823,2024-11-09,1738,,3,3,3
44,2024-11-09,471,,3,3,3
4099,2024-11-09,2652,,5,5,1
3928,2024-11-09,1767,,5,5,1
3289,2024-11-09,1307,,3,4,1
3488,2024-11-09,2127,,5,5,1
752,2024-11-09,1655,,5,5,1
3699,2024-11-09,910,,5,5,1
134,2024-11-09,1407,,4,4,2
4632,2024-11-09,962,,5,5,1
106,2024-11-09,1303,,5,5,1
2346,2024-11-09,1233,,5,5,1
2452,2024-11-09,517,,3,5,3
1970,2024-11-09,2070,,5,5,1
3525,2024-11-09,1494,,5,5,1
2307,2024-11-09,719,,3,5,3
3417,2024-11-09,1413,,3,3,3
3143,2024-11-09,383,,4,5,1
3118,2024-11-09,2018,,5,5,1
3919,2024-11-09,469,,5,5,1
1304,2024-11-09,3523,,5,5,1
389,2024-11-09,2094,,5,5,1
1713,2024-11-09,366,,5,5,1
4363,2024-11-09,1871,,5,5,1
4536,2024-11-09,386,,5,5,1
1652,2024-11-09,3128,,5,5,1
2540,2024-11-09,3599,,5,5,1
2045,2024-11-09,1445,,5,5,1
1106,2024-11-09,1153,,5,5,1
2206,2024-11-09,2197,,5,5,1
760,2024-11-09,3593,,4,4,1
2833,2024-11-09,3743,,5,5,1
257,2024-11-09,789,,5,5,1
2085,2024-11-09,219,,5,5,1
2831,2024-11-09,1403,,5,5,1
4421,2024-11-09,517,,5,5,1
1083,2024-11-09,1024,,3,3,1
4101,2024-11-09,3511,,3,5,3
2184,2024-11-09,3014,,4,5,1
722,2024-11-09,1227,,5,5,1
738,2024-11-09,3685,,3,1,3
28,2024-11-09,1401,,5,5,1
1813,2024-11-09,3021,,3,5,3
3472,2024-11-09,2703,,3,5,3
1701,2024-11-09,1928,,5,5,1
4080,2024-11-09,1744,,5,5,1
857,2024-11-09,3718,,3,3,1
937,2024-11-09,113,,1,3,4
577,2024-11-09,1441,,5,5,1
4555,2024-11-09,592,,5,5,1
835,2024-11-09,87,,5,5,1
3910,2024-11-09,2638,,3,5,3
2091,2024-11-09,3083,,3,3,3
204,2024-11-09,2720,,5,5,1
4272,2024-11-09,1494,,3,5,3
4221,2024-11-09,279,,3,5,3
2584,2024-11-09,1685,,5,5,1
1510,2024-11-09,3685,,1,3,4
221,2024-11-09,597,,5,5,1
2042,2024-11-09,2453,,2,3,4
9,2024-11-09,1341,,5,5,1
2648,2024-11-09,924,,5,5,1
3582,2024-11-09,3363,,5,5,1
1295,2024-11-09,1843,,4,4,1
3499,2024-11-09,2657,,3,4,3
2530,2024-11-09,4,,3,3,3
4635,2024-11-09,2800,,5,5,1
1146,2024-11-09,2527,,5,5,1
3189,2024-11-09,2535,,4,4,1
1740,2024-11-09,1612,,3,3,3
2376,2024-11-09,1041,,3,3,3
4425,2024-11-09,611,,4,4,1
652,2024-11-09,648,,4,5,1
4028,2024-11-09,1972,,3,5,1
157,2024-11-09,1843,,5,5,1
4604,2024-11-09,3186,,5,5,1
3681,2024-11-09,1782,,3,5,1
1944,2024-11-09,548,,5,5,1
1431,2024-11-09,222,,5,5,1
2436,2024-11-09,352,,3,5,3
1090,2024-11-09,64,,3,1,3
4033,2024-11-09,1659,,5,5,1
1340,2024-11-09,807,,2,1,3
1653,2024-11-09,3614,,3,5,3
1466,2024-11-09,1314,,2,1,3
4640,2024-11-09,2124,,5,5,1
618,2024-11-09,718,,5,5,1
2354,2024-11-09,3711,,3,4,3
1753,2024-11-09,1982,,5,5,1
146,2024-11-09,2536,,4,4,1
2634,2024-11-09,1163,,3,3,3
560,2024-11-09,2382,,3,4,1
2627,2024-11-09,601,,5,5,1
3935,2024-11-09,3791,,5,5,1
3752,2024-11-09,3173,,5,5,1
3130,2024-11-09,2960,,5,5,1
4153,2024-11-09,2173,,1,1,1
4388,2024-11-09,2365,,3,1,1
1339,2024-11-09,243,,4,4,2
1366,2024-11-09,1593,,5,5,1
3600,2024-11-09,813,,5,5,1
3754,2024-11-09,4,,4,4,1
1527,2024-11-09,427,,3,5,3
1007,2024-11-09,352,,5,5,1
1594,2024-11-09,1934,,1,1,1
2233,2024-11-09,3526,,3,3,3
2938,2024-11-09,2463,,3,4,1
3276,2024-11-09,762,,3,3,3
4139,2024-11-09,3026,,5,5,1
235,2024-11-09,3055,,5,5,1
1117,2024-11-09,350,1327,1,1,4
4399,2024-11-09,1085,,3,5,3
4487,2024-11-09,2190,,3,3,3
3615,2024-11-09,2233,,5,5,1
1629,2024-11-09,2281,,3,3,3
3969,2024-11-09,943,,5,5,1
2503,2024-11-09,2246,,3,3,1
3561,2024-11-09,2391,,5,5,1
1747,2024-11-09,3451,,3,4,3
1831,2024-11-09,3441,,5,5,1
1293,2024-11-09,3665,,5,5,1
343,2024-11-09,199,,5,5,1
2713,2024-11-09,2985,,1,3,4
4583,2024-11-09,72,,3,3,3
938,2024-11-09,1011,,3,3,1
3469,2024-11-09,3485,,3,1,1
2832,2024-11-09,1285,,5,3,1
976,2024-11-09,1843,,3,4,3
3219,2024-11-09,42,,5,5,1
1381,2024-11-09,3773,,5,5,1
4547,2024-11-09,232,,5,5,1
4071,2024-11-09,3040,,5,5,1
351,2024-11-09,3026,,5,5,1
4574,2024-11-09,3509,,5,5,1
4042,2024-11-09,807,,3,3,1
2192,2024-11-09,1162,,5,5,1
4183,2024-11-09,402,,5,5,1
3709,2024-11-09,2637,,5,5,1
254,2024-11-09,2587,,5,5,1
3954,2024-11-09,2382,,5,5,1
2079,2024-11-09,2637,,5,5,1
2272,2024-11-09,797,,1,1,1
2167,2024-11-09,367,,3,1,3
